Date,Rank,Category,Title,Author,Week on List,Description
2021-05-30,1,Children’s Series,Shadow And Bone Trilogy,Leigh Bardugo,10,"The basis of the Netflix series; previously titled ""The Grisha Trilogy."""
2021-05-30,2,Children’s Series,Diary Of A Wimpy Kid,Jeff Kinney,635,The travails and challenges of adolescence.
2021-05-30,3,Children’s Series,Awesome Friendly Kid,Jeff Kinney,9,Rowley Jefferson chronicles his life story and adventures.
2021-05-30,4,Children’s Series,Harry Potter,J.K. Rowling,634,A wizard hones his conjuring skills in the service of fighting evil.
2021-05-30,5,Children’s Series,Wings Of Fire,Tui T. Sutherland,114,Only the five dragonets of destiny can unite the seven warring dragon tribes.
2021-05-30,1,Young Adult Hardcover,Realm Breaker,Victoria Aveyard,2,A small band of misfits attempt to save Allward.
2021-05-30,2,Young Adult Hardcover,Rule Of Wolves,Leigh Bardugo,7,The second book in the King of Scars duology.
2021-05-30,3,Young Adult Hardcover,One Of Us Is Lying,Karen M. McManus,172,"For five students, a detour into detention ends in murder."
2021-05-30,4,Young Adult Hardcover,Stamped,Jason Reynolds and Ibram X. Kendi,60,An exploration of racism and antiracism in America.
2021-05-30,5,Young Adult Hardcover,Firekeeper'S Daughter,Angeline Boulley,9,Daunis investigates a deadly new drug being distributed in her tribal community.
2021-05-23,1,Combined Print & E-Book Fiction,21St Birthday,James Patterson and Maxine Paetro,1,The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.
2021-05-23,2,Combined Print & E-Book Fiction,The Last Thing He Told Me,Laura Dave,1,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-05-23,3,Combined Print & E-Book Fiction,Project Hail Mary,Andy Weir,1,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2021-05-23,4,Combined Print & E-Book Fiction,Sooley,John Grisham,2,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
2021-05-23,5,Combined Print & E-Book Fiction,Where The Crawdads Sing,Delia Owens,129,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-05-23,1,Combined Print & E-Book Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,1,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-05-23,2,Combined Print & E-Book Nonfiction,The Premonition,Michael Lewis,1,Stories of skeptics who went against the official response of the Trump administration to the outbreak of Covid-19.
2021-05-23,3,Combined Print & E-Book Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,2,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-05-23,4,Combined Print & E-Book Nonfiction,The Bomber Mafia,Malcolm Gladwell,2,A look at the key players and outcomes of precision bombing during World War II.
2021-05-23,5,Combined Print & E-Book Nonfiction,Finding The Mother Tree,Suzanne Simard,1,"An ecologist describes ways trees communicate, cooperate and compete."
2021-05-23,1,Hardcover Fiction,The Last Thing He Told Me,Laura Dave,1,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-05-23,2,Hardcover Fiction,21St Birthday,James Patterson and Maxine Paetro,1,The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.
2021-05-23,3,Hardcover Fiction,Sooley,John Grisham,2,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
2021-05-23,4,Hardcover Fiction,Project Hail Mary,Andy Weir,1,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2021-05-23,5,Hardcover Fiction,The Hill We Climb,Amanda Gorman,6,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem."
2021-05-23,1,Hardcover Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,1,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-05-23,2,Hardcover Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,2,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-05-23,3,Hardcover Nonfiction,The Premonition,Michael Lewis,1,Stories of skeptics who went against the official response of the Trump administration to the outbreak of Covid-19.
2021-05-23,4,Hardcover Nonfiction,Finding The Mother Tree,Suzanne Simard,1,"An ecologist describes ways trees communicate, cooperate and compete."
2021-05-23,5,Hardcover Nonfiction,The Bomber Mafia,Malcolm Gladwell,2,A look at the key players and outcomes of precision bombing during World War II.
2021-05-23,1,Paperback Trade Fiction,Where The Crawdads Sing,Delia Owens,6,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-05-23,2,Paperback Trade Fiction,The Silent Patient,Alex Michaelides,1,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2021-05-23,3,Paperback Trade Fiction,The Song Of Achilles,Madeline Miller,29,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.
2021-05-23,4,Paperback Trade Fiction,The Woman With The Blue Star,Pam Jenoff,1,A friendship develops between two girls living in different circumstances in Poland during World War II.
2021-05-23,5,Paperback Trade Fiction,Later,Stephen King,10,An N.Y.P.D. detective asks the son of a struggling single mother to use his unnatural ability to track a killer.
2021-05-23,1,Paperback Nonfiction,The Body Keeps The Score,Bessel van der Kolk,133,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-05-23,2,Paperback Nonfiction,Becoming,Michelle Obama,10,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent."
2021-05-23,3,Paperback Nonfiction,Nomadland,Jessica Bruder,12,"A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend."
2021-05-23,4,Paperback Nonfiction,Minor Feelings,Cathy Park Hong,8,"The poet and essayist, who is the daughter of Korean immigrants, explores her racial identity and racial consciousness in America today."
2021-05-23,5,Paperback Nonfiction,White Fragility,Robin DiAngelo,140,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
2021-05-23,1,"Advice, How-To & Miscellaneous",The Women Of The Bible Speak,Shannon Bream,6,
2021-05-23,2,"Advice, How-To & Miscellaneous","The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,75,
2021-05-23,3,"Advice, How-To & Miscellaneous",Atomic Habits,James Clear,76,
2021-05-23,4,"Advice, How-To & Miscellaneous",World Travel,Anthony Bourdain and Laurie Woolever,3,
2021-05-23,5,"Advice, How-To & Miscellaneous",How Stella Learned To Talk,Christina Hunger,1,
